DK_kode,DK_art,FAO_kode,GB_art,Latin
OSB,Orange Savbug,ORY,Orange Roughy,Hoplostethus atlanticus
PFF,Plettet Fløjfisk,OPH,Spotted Dragonet,Callionymus maculatus
PGH,Pighvarre,TUR,Turbot,Psetta maxima
PHJ,Pighaj,DGS,Picked Dogfish,Squalus acanthias
PIL,Sardin,PIL,European Pilchard,Sardina pilchardus
PLK,Panserulk,AFT,Hooknose,Agonus cataphractus
PLR,Pletrokke,RJN,Cuckoo ray,Leucoraja naevus
PLT,Polar torsk,POC,Polar cod,Boreogadus Saida
RBO,Regnbueørred,TRR,Rainbow Trout,Oncorhynchus mykiss
RDF,Stor rødfisk,REG,Golden Redfish,Sebastes marinus
REB,Lille rødfisk,REB,Beaked Redfish,Sebastes mentella
RHJ,Rævehaj,ALV,Thresher Shark,Alopias vulpinus
RIH,Ringhaj,SHO,Blackmouth Catshark,Galeus melastomus
ROK,Rokkearter,SKA,Rays + Skates,Raja spp.
RSP,Rødspætte,PLE,European Plaice,Pleuronectes platessa
RTG,Rødtunge,LEM,Lemon Sole,Microstomus kitt
SAN,Sandart,FPP,Pike-Perch,Sander lucioperca
SBS,Spidstandet Blankesten,SBR,Blackspot Seabream,Pagellus bogaraveo
SFF,Stribet Fløjfisk,LYY,Gemmous Dragonet,Callionymus lyra
SFS,Strømpebåndsfisk,SFS,Silver Scabbardfish,Lepidopus caudatus
SHJ,Sildehaj,POR,Porbeagle,Lamna nasus
SHO,Stillehavsøsters,OYG,Pacific cupped oyster,Crassostrea gigas
SIL,Sild,HER,Atlantic Herring,Clupea harengus
SKD,Skade,RJB,Blue skate,Raja batis
SKI,Skærising,WIT,Witch Flounder,Glyptocephalus cynoglossus
SKL,Skalle,FRO,Roach,Rutilus rutilus
SKO,Skolæst,RNG,Roundnose Grenadier,Coryphaenoides rupestris
SKR,Skrubbe,FLE,European Flounder,Platichthys flesus
SKT,Skægtorsk,BIB,Pouting,Trisopterus luscus
SLB,Slangekrabbe,OOA,Snake Blenny,Ophidion barbatum
SLH,Slethvarre,BLL,Brill,Scophthalmus rhombus
SLI,Slimål,MYG,Hagfish,Myxine glutinosa
SML,Smelt,SME,European Smelt,Osmerus eperlanus
SMR,Sømrokke,RJC,Thornback ray,Raja clavata
SNB,Snæbel,HOU,Houting,Coregonus oxyrinchus
SNE,Sneglearter,GAS,Gastropods,Busycon spp.
SNP,Snippe,ENQ,Snake pipefish,Entelurus aequoreus
SOH,Sorthaj,ETX,Velvet belly,Etmopterus spinax
SOR,Storplettet rokke,RJM,Spotted ray,Raja montagui
SPE,Sperling,NOP,Norway Pout,Trisopterus esmarkii
SPF,Sankt petersfisk,JOD,John dory,Zeus faber
SPN,Søpindsvin,URS,Sea Urchin,Echinus esculentus
SQC,Tiarmede blæksprutter (loli,SQC,Common squids nei,Loligo spp.
SRH,Småplettet Rødhaj,SYC,Lesser Spotted Dogfish,Scyliorhinus canicula
SSF,Sort Sabelfisk,BSF,Black Scabbardfish,Aphanopus carbo
SSI,Stavsild,TSD,Twaite Shad,Alosa fallax
SSK,Blåmusling storskrald,MUS,"Blue mussel, bulky refuse",
SSN,Strandsnegl,PER,Periwinkles,Littorina spp.
STB,Stenbider,LUM,Lumpfish,Cyclopterus lumpus
STJ,Søstjerne,STH,Starfish,Asterias rubens
STN,Blåmusling sten,MUS,"Blue mussel, stone",
STR,Alm. stør,APU,Sturgeon,Acipenser sturio
SUD,Suder,FTE,Tench,Tinca tinca
SUT,Sukkertang,LQX,Sea belt,Laminaria saccharina
SVF,Sværdfisk,SWO,Swordfish,Xiphias gladius
SVT,Sølvtorsk,GDG,Silvery  Pout,Gadiculus argenteus
SWB,Rødalger,LQX,Brown Seaweeds,Phaeophyceae
SWG,Grønalger,LQX,Green Seaweeds,Chlorophyceae
SWR,Brunalger,LQX,Red Seaweeds,Rhodophyceae
TAK,Taskekrabbe,CRE,Edible Crab,Cancer pagurus
TBK,Tobiskonge,YEZ,Great Sandeel,Hyperoplus lanceolatus
TBS,Tobis,SAN,Sandeels,Ammodytes spp
TIG,Tigerhaj,TIG,Tiger Shark,Galeocerdo cuvier
TIO,Tigerørred,CHR,Char,Salvelinus spp.
TKA,Teleskopkardinalfisk,EPI,Black cardinalfish,Epigonus telescopus
TKR,Troldkrabbe,KCT,Stone king crab,Lithodes maja
TNG,Tunge,SOL,Common Sole,Solea solea
TOR,Torsk,COD,Atlantic Cod,Gadus morhua
TRB,Tærbe,RJR,Starry ray,Raja radiata
TRU,Trugmusling,ULO,Solid surf clam,Spisula Solida
TUN,Blåfinnet tun,BFT,Atlantic Bluefin Tuna,Thunnus thynnus
TUV,Tungehvarre,MSF,Scaldfish,Arnoglossus laterna
ULK,Ulk,SCU,Sculpin,Myoxocephalus scorpius
USB,Berggylt,USB,Ballan wrasse,Labrus bergylta
UVU,Søsalat,UVU,Sea lettuce,Ulva lactuca
VEM,Venusmusling,CLV,Venus clams,Veneridae
VGM,Plettet månefisk,MOO,Moonfish,Mene maculata
WEX,Fjæsingarter,WEX,Weevers nei,Trachinus spp.
OTHER,*Andre,OTHER,*Other,Other
TOT,**Total,TOT,**Total,Total
